0.GlossaryDownloaded,0.MissionsCompleted,0.MissionsPlayed,0.SessionTimeSpent,0.StorySkiped,0.helpScreenviewed,0.highScore,0.starTotal,1.Mission1Stage,1.Mission2Stage,1.Mission3Stage,1.Mission4Stage,appData.CaseDetails,appData.CorrectRelease,appData.CurrentLevel,appData.CurrentMission,appData.GlossaryDownloaded,appData.HyperlinksClicked,appData.IncorrectRelease,appData.MissionsCompleted,appData.MissionsPlayed,appData.NumberOfClues,appData.NumberOfErrors,appData.ReplayUsedNumber,appData.SessionTimeSpent,appData.StagePlayed,appData.StorySkiped,appData.TimeSpentStage,appData.ToolsClicked,appData.event_type,appData.helpScreenviewed,appData.highScore,appData.scoreAchieved,appData.starEarned,appData.starTotal,appData.statusCompleted,appData.statusConpleted,appName,buddyIds,createdAt,event_type,language,sessionId,userId
,,,,,,,,,,,,"[u'fig001', [u'fig019', u'fig031', u'fig030', u'fig048', u'fig001', u'fig015', None, None], [u'Does the culprit have more than 2 equal pairs of sides ?', u'Does the culprit have less than 2 parallel pairs of sides?', u'Does the culprit have at least 1 equal pairs of sides ?', u'Does the culprit have at least 1 equal angle(s)?', u'Does the culprit have at least 1 equal side?'], [u'Yes', u'Yes', u'Yes', u""I don't understand"", u""I don't understand""]]","[{""clue"":4,""fig"":[""fig031""]},{""clue"":5,""fig"":[""fig030""]}]",,Mission 2,,[],[],,,,,0.0,,1.0,,423785:48:39,[],,,,40.0,0.0,,,failed,policesquad,1260873,2018-5-6 23:18:39,stage_end,en,i3smdy20pjkj54bwpobk9cokmctvso3s,1260001
,,,,,,,,,,,,"[u'exactly4equalpairsofsides', [u'fig012', u'fig042', u'fig056', u'fig037', None, None, None, None], [u'The culprit has more than 3 equal pairs of sides ', u'The culprit has atleast 5 straight sides'], [u'Incorrect', u'Correct']]","[{""clue"":1,""fig"":[""fig012""]}]",,Mission 1,,"[""equal pairs of sides""]","[{""clue"":2,""fig"":[""fig042"",""fig056""]}]",,,,,0.0,,1.0,,0:3:51,"[""Equal Sides tool"",""Equal Sides tool"",""Parallel Lines tool"",""Equal Sides tool"",""Right Angle tool"",""Equal Sides tool""]",,,,30.0,0.0,,,failed,policesquad,,2018-5-7 11:41:41,stage_end,en,0yn1e8c9pxnlxm6dzpbfrivl36eefo4n,1260658
,,,,,,,,,,,,"[u'fig030', [u'fig015', u'fig024', u'fig030', u'fig052', u'fig020', u'fig048', None, None], [u'Does the culprit have at least 1 reflex angle(s)?', u'Does the culprit have exactly 4  straight sides?'], [u'Yes', u'No']]","[{""clue"":2,""fig"":[""fig030"",""fig048""]}]",,Mission 2,,"[""reflex angle""]","[{""clue"":1,""fig"":[""fig015"",""fig024"",""fig020""]}]",,,,,0.0,,1.0,,0:9:15,"[""right angle tool"",""Equal Sides marker tool""]",,,,200.0,0.0,,,failed,policesquad,,2018-5-7 11:50:57,stage_end,en,0yn1e8c9pxnlxm6dzpbfrivl36eefo4n,1260658
,,,,,,,,,,,,"[u'fig020', [u'fig015', u'fig024', u'fig048', u'fig030', u'fig020', u'fig052', None, None], [u'Does the culprit have at least 1 right angle(s)?', u'Does the culprit have at least 2 equal pairs of sides ?'], [u'Yes', u'No']]",[],,Mission 2,,"[""equal pairs of sides""]","[{""clue"":1,""fig"":[""fig024"",""fig048"",""fig030""]},{""clue"":2,""fig"":[""fig015"",""fig052""]}]",,,,,0.0,,1.0,,423799:5:6,"[""Equal Sides marker tool"",""right angle tool""]",,,,400.0,1.0,,,passed,policesquad,,2018-5-7 12:35:6,stage_end,en,khtzrutfwoor4inrbb1gii01kwjk2imh,1260658
,,,,,,,,,,,,"[u'fig007', [u'fig003', u'fig006', u'fig007', u'fig004', u'fig005', u'fig002', None, None], [u'Does the culprit have at least 1 right angle(s)?', u'Does the culprit have at least 1 equal pairs of sides ?', u'Does the culprit have exactly 1 right angle(s)?', u'Does the culprit have exactly 2 acute angle(s)?'], [u'No', u'No', u'No', u'Yes']]","[{""clue"":2,""fig"":[]},{""clue"":3,""fig"":[""fig004""]}]",,Mission 2,,[],"[{""clue"":1,""fig"":[""fig005"",""fig002""]},{""clue"":4,""fig"":[""fig003"",""fig006""]}]",,,,,0.0,,2.0,,0:5:37,"[""acute angle tool"",""right angle tool"",""Equal Sides marker tool"",""Equal Sides marker tool"",""right angle tool""]",,,,200.0,0.0,,,passed,policesquad,,2018-5-7 12:40:50,stage_end,en,khtzrutfwoor4inrbb1gii01kwjk2imh,1260658
,,,,,,,,,,,,"[u'fig024', [u'fig008', u'fig022', u'fig010', u'fig026', u'fig024', u'fig028', u'fig016', u'fig011'], [u'Does the culprit have exactly 3 acute angle(s)?', u'Does the culprit have at least 2 equal pairs of sides ?', u'Does the culprit have at least 1 right angle(s)?', u'Does the culprit have at least 2 equal pairs of sides ?'], [u'No', u'Yes', u'No', u'Yes']]",[],,Mission 2,,[],"[{""clue"":1,""fig"":[""fig022"",""fig010"",""fig016""]},{""clue"":2,""fig"":[""fig026"",""fig011""]},{""clue"":4,""fig"":[""fig008"",""fig028""]}]",,,,,0.0,,3.0,,0:9:47,"[""Equal Sides marker tool"",""right angle tool"",""Equal Sides marker tool"",""acute angle tool""]",,,,360.0,0.0,,,passed,policesquad,,2018-5-7 12:50:46,stage_end,en,khtzrutfwoor4inrbb1gii01kwjk2imh,1260658
,,,,,,,,,,,,"[u'exactly3emptysides', [u'fig033', u'fig068', u'fig022', u'fig027', None, None, None, None], [u'The culprit has less than 4 straight sides', u'The culprit has less than 2 equal pairs of sides ', u'The culprit has less than 5 straight sides'], [u'Incorrect', u'Incorrect', u'Incorrect']]",[],,Mission 1,,[],"[{""clue"":1,""fig"":[""fig022""]},{""clue"":2,""fig"":[""fig068""]},{""clue"":3,""fig"":[""fig027""]}]",,,,,0.0,,1.0,,0:0:18,[],,,,10.0,0.0,,,failed,policesquad,,2018-5-6 23:6:15,stage_end,en,21t8by6sa9u3cfv6bqhg37i7ojz9vn37,1
False,"[0, 0, 0, 0]","[0, 0, 0, 0]",25480093.0,False,"[0, 0, 0, 0]",0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,policesquad,,2018-6-12 17:42:10,,en,ue47sojhfzwpghjd9dqsrqg46h993yge,1
,,,,,,,,,,,,"[u'exactly4equalpairsofsides', [u'fig057', u'fig020', u'fig058', u'fig015', None, None, None, None], [u'The culprit has exactly 8 straight sides', u'The culprit has more than 6 straight sides'], [u'Correct', u'Correct']]","[{""clue"":1,""fig"":[""fig020"",""fig015""]},{""clue"":2,""fig"":[""fig058""]}]",,Mission 1,,[],[],,,,,0.0,,1.0,,0:4:43,"[""Equal Sides tool""]",,,,80.0,1.0,,,passed,policesquad,,2018-5-7 12:23:32,stage_end,en,kplei667vysuke6ts8fhzs45s3tbgvdi,1260083
,,,,,,,,,,,,"[u'no1rightangles', [u'fig069', u'fig020', u'fig065', u'fig035', None, None, None, None], [u'The culprit has less than 4 straight sides', u'The culprit has atleast 1 curved side', u'The culprit has less than 3 right angles'], [u'Correct', u'Correct', u'Correct']]","[{""clue"":1,""fig"":[""fig035""]},{""clue"":2,""fig"":[""fig020""]},{""clue"":3,""fig"":[""fig069""]}]",,Mission 1,,"[""right angles""]","[{""clue"":1,""fig"":[""fig065"",""fig069""]}]",,,,,2.0,,2.0,,0:1:19,"[""Right Angle tool"",""Equal Sides tool"",""Parallel Lines tool"",""Parallel Lines tool""]",,,,30.0,0.0,,,passed,policesquad,,2018-5-7 12:29:49,stage_end,en,kplei667vysuke6ts8fhzs45s3tbgvdi,1260083
